t,x0,x1, 
0,0,1.42392,
0.0015625,0.00222488,1.42392,
0.003125,0.00444976,1.42392,
0.0046875,0.00667464,1.42392,
0.00625,0.00889952,1.42392,
0.0078125,0.0111244,1.42392,
0.009375,0.0133493,1.42392,
0.0109375,0.0155742,1.42392,
0.0125,0.017799,1.42392,
0.0140625,0.0200239,1.42392,
0.015625,0.0222488,1.42392,
0.0171875,0.0244737,1.42392,
0.01875,0.0266986,1.42392,
0.0203125,0.0289234,1.42392,
0.021875,0.0311483,1.42392,
0.0234375,0.0333732,1.42392,
0.025,0.0355981,1.42392,
0.0265625,0.037823,1.42392,
0.028125,0.0400478,1.42392,
0.0296875,0.0422727,1.42392,
0.03125,0.0444976,1.42392,
0.0328125,0.0467225,1.42392,
0.034375,0.0489474,1.42392,
0.0359375,0.0511722,1.42392,
0.0375,0.0533971,1.42392,
0.0390625,0.055622,1.42392,
0.040625,0.0578469,1.42392,
0.0421875,0.0600718,1.42392,
0.04375,0.0622966,1.42392,
0.0453125,0.0645215,1.42392,
0.046875,0.0667464,1.42392,
0.0484375,0.0689713,1.42392,
0.05,0.0711962,1.42392,
0.0515625,0.073421,1.42392,
0.053125,0.0756459,1.42392,
0.0546875,0.0778708,1.42392,
0.05625,0.0800957,1.42392,
0.0578125,0.0823206,1.42392,
0.059375,0.0845454,1.42392,
0.0609375,0.0867703,1.42392,
0.0625,0.0889952,1.42392,
0.0640625,0.0912201,1.42392,
0.065625,0.0934449,1.42392,
0.0671875,0.0956698,1.42392,
0.06875,0.0978947,1.42392,
0.0703125,0.10012,1.42392,
0.071875,0.102344,1.42392,
0.0734375,0.104569,1.42392,
0.075,0.106794,1.42392,
0.0765625,0.109019,1.42392,
0.078125,0.111244,1.42392,
0.0796875,0.113469,1.42392,
0.08125,0.115694,1.42392,
0.0828125,0.117919,1.42392,
0.084375,0.120143,1.42392,
0.0859375,0.122368,1.42392,
0.0875,0.124593,1.42391,
0.0890625,0.126818,1.42391,
0.090625,0.129043,1.42391,
0.0921875,0.131268,1.42391,
0.09375,0.133493,1.42391,
0.0953125,0.135717,1.42391,
0.096875,0.137942,1.42391,
0.0984375,0.140167,1.42391,
0.1,0.142392,1.42391,
0.101562,0.144617,1.4239,
0.103125,0.146842,1.4239,
0.104688,0.149067,1.4239,
0.10625,0.151291,1.4239,
0.107813,0.153516,1.4239,
0.109375,0.155741,1.4239,
0.110938,0.157966,1.42389,
0.1125,0.160191,1.42389,
0.114063,0.162416,1.42389,
0.115625,0.16464,1.42389,
0.117188,0.166865,1.42389,
0.11875,0.16909,1.42388,
0.120313,0.171315,1.42388,
0.121875,0.17354,1.42388,
0.123438,0.175765,1.42387,
0.125,0.177989,1.42387,
0.126562,0.180214,1.42387,
0.128125,0.182439,1.42386,
0.129688,0.184664,1.42386,
0.13125,0.186888,1.42386,
0.132812,0.189113,1.42385,
0.134375,0.191338,1.42385,
0.135938,0.193563,1.42384,
0.1375,0.195788,1.42384,
0.139063,0.198012,1.42383,
0.140625,0.200237,1.42383,
0.142187,0.202462,1.42382,
