t,x00,x10,v00,v10,x01,x11,v01,v11,x02,x12,v02,v12,x03,x13,v03,v13,
0,-0.5,0.1,-0.84,0.65,-0.6,-0.2,2.86,0.7,0.5,0.1,-0.44,-1.5,0.5,0.4,1.15,-1.6,
0.0004,-0.500739,0.100571,-0.840504,0.647002,-0.599084,-0.199775,2.86312,0.708483,0.499841,0.0994603,-0.441116,-1.49829,0.500184,0.399744,1.14905,-1.60433,
0.0008,-0.501479,0.101139,-0.840994,0.643994,-0.598168,-0.199547,2.8662,0.71699,0.499682,0.0989212,-0.44223,-1.49658,0.500368,0.399487,1.14809,-1.60864,
0.0012,-0.50222,0.101704,-0.841469,0.640976,-0.59725,-0.199316,2.86924,0.725521,0.499523,0.0983828,-0.443341,-1.49487,0.500551,0.399229,1.14712,-1.61295,
0.0016,-0.50296,0.102267,-0.84193,0.63795,-0.596331,-0.199082,2.87223,0.734077,0.499363,0.0978449,-0.44445,-1.49317,0.500735,0.39897,1.14616,-1.61725,
0.002,-0.503701,0.102827,-0.842375,0.634914,-0.595412,-0.198846,2.87519,0.742657,0.499203,0.0973077,-0.445556,-1.49147,0.500918,0.398711,1.14519,-1.62154,
0.0024,-0.504443,0.103384,-0.842806,0.631869,-0.594491,-0.198607,2.8781,0.751259,0.499042,0.0967711,-0.44666,-1.48977,0.501101,0.398452,1.14421,-1.62583,
0.0028,-0.505185,0.103939,-0.843222,0.628815,-0.59357,-0.198365,2.88098,0.759885,0.498881,0.0962351,-0.447761,-1.48807,0.501284,0.398191,1.14324,-1.6301,
0.0032,-0.505927,0.104491,-0.843623,0.625753,-0.592647,-0.198121,2.88381,0.768533,0.49872,0.0956997,-0.44886,-1.48637,0.501467,0.39793,1.14225,-1.63437,
0.0036,-0.506669,0.10504,-0.844009,0.622682,-0.591724,-0.197873,2.88659,0.777203,0.498558,0.0951649,-0.449957,-1.48468,0.50165,0.397668,1.14127,-1.63863,
0.004,-0.507412,0.105587,-0.84438,0.619602,-0.5908,-0.197623,2.88934,0.785896,0.498396,0.0946307,-0.451051,-1.48299,0.501832,0.397406,1.14028,-1.64288,
0.0044,-0.508156,0.106131,-0.844735,0.616514,-0.589875,-0.19737,2.89204,0.794609,0.498233,0.0940971,-0.452143,-1.4813,0.502015,0.397142,1.13928,-1.64712,
0.0048,-0.508899,0.106672,-0.845075,0.613418,-0.588949,-0.197115,2.8947,0.803344,0.49807,0.0935642,-0.453232,-1.47962,0.502197,0.396879,1.13829,-1.65135,
0.0052,-0.509643,0.10721,-0.8454,0.610314,-0.588022,-0.196856,2.89732,0.812099,0.497907,0.0930318,-0.454319,-1.47793,0.502379,0.396614,1.13728,-1.65558,
0.0056,-0.510387,0.107746,-0.845709,0.607203,-0.587095,-0.196595,2.89989,0.820875,0.497743,0.0925,-0.455404,-1.47625,0.502561,0.396349,1.13628,-1.6598,
0.006,-0.511131,0.108279,-0.846002,0.604083,-0.586166,-0.196331,2.90242,0.829671,0.497579,0.0919689,-0.456486,-1.47457,0.502742,0.396083,1.13527,-1.66401,
